species	scaffold	mixed_groups	genestring	charAcount	charBcount	m	mode	mean	bases_covered_mixing	scaffold_total_bases	percent_scaffold_mixing	m_percent_of_way_to_mode	p_value_unmixed	num_iterations
Cowczarzaki	NW_011887292.1	ALG_1+ALG_10	AABAABBBBBABBB	9	5	0.7368421052631579	0.9210526315789472	1.0008452631578946	358512	3794338	9.448604736847376	80.0	0.28514	100000
Davara	NC_089275.1	ALG_1+ALG_15	ABBABABBBABAB	8	5	1.552238805970149	0.9701492537313432	1.0005032835820895	25277116	50154164	50.39883826993906	100.0	0.98365	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_15	ABBABABABABBB	8	5	1.552238805970149	0.9701492537313432	1.0001152238805968	798300	3794338	21.039243209223848	100.0	0.984	100000
Srosetta	NW_004457740.1	ALG_1+ALG_15	ABABBAB	3	4	1.647058823529412	0.823529411764706	0.9997070588235296	1401384	2682829	52.235308325651765	100.0	0.97118	100000
Acrassa	OZ181676.1	ALG_1+ALG_15	BABABABBBAABB	8	5	1.3582089552238803	0.9701492537313432	0.9990441791044776	2961057	8694439	34.05690694937304	100.0	0.93034	100000
Celegans	NC_003282.8	ALG_1+ALG_15	BBABABABAB	4	6	1.8421052631578945	1.052631578947368	0.9998342105263156	9036545	17493829	51.6556152458104	100.0	1.0	100000
Hpanicea	NC_087379.1	ALG_1+ALG_15	BABABABABABBB	5	8	1.7462686567164178	0.9701492537313432	1.0003402985074628	1701677	8483533	20.058588797851083	100.0	1.0	100000
Hsymbiolongicarpus	NC_079889.1	ALG_1+ALG_15	ABBABBBABAAB	5	7	1.2413793103448274	0.8275862068965516	0.9987724137931032	8768562	11552000	75.905141966759	100.0	0.8533	100000
Abeatrix	OY725500.1	ALG_1+ALG_15	ABBABAABAB	5	5	1.5	1.0	0.99942	3694332	4310164	85.71209819394343	100.0	0.95996	100000
Bcyanae	OZ177746.1	ALG_1+ALG_15	ABBABAABAB	5	5	1.5	1.0	0.9986325	3885774	4681714	82.99896149145377	100.0	0.96122	100000
Sciliatum	NC_088650.1	ALG_1+ALG_15	ABABAB	3	3	2.0	1.0	0.99788	17157539	34307216	50.011458230828175	100.0	1.0	100000
Pverrucosa	NC_089314.1	ALG_1+ALG_15	ABBABAABBBBAB	5	8	1.164179104477612	0.9701492537313432	0.998945223880597	11781663	32159411	36.63519521548452	100.0	0.7941	100000
Mleidyi	CM108480.1	ALG_1+ALG_15	BABABBBABABAB	8	5	1.7462686567164178	0.9701492537313432	1.0025153731343284	6342799	14925576	42.49617569197999	100.0	1.0	100000
Nvectensis	NC_064036.1	ALG_1+ALG_15	ABBABABBBABAB	8	5	1.552238805970149	0.9701492537313432	0.9990111940298506	17220247	20793841	82.81417079220718	100.0	0.98461	100000
Bmicroptera	NC_087079.1	ALG_1+ALG_15	BABABABABBABB	8	5	1.7462686567164178	0.9701492537313432	0.9996980597014924	9065747	18467570	49.090091441375336	100.0	1.0	100000
Olobularis	NC_089193.1	ALG_1+ALG_15	ABBABABABBABB	8	5	1.552238805970149	0.9701492537313432	1.00177223880597	499687	2167890	23.049462841749357	100.0	0.98333	100000
Ccandelabrum	NC_085090.1	ALG_1+ALG_15	ABBABBBABABAB	5	8	1.552238805970149	0.9701492537313432	1.0007458208955224	8317917	8846715	94.02266264935628	100.0	0.98329	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_19	BBAABAAABBB	6	5	0.6734693877551021	0.8979591836734695	0.999605918367347	798300	3794338	21.039243209223848	75.0	0.26189	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_20	BBBAAAAABBB	6	5	0.2244897959183673	0.8979591836734695	1.0005285714285714	798300	3794338	21.039243209223848	25.0	0.02367	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_23	BABBBAAAABB	6	5	0.6734693877551021	0.8979591836734695	1.0016667346938777	798300	3794338	21.039243209223848	75.0	0.26076	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_25	AAAAABBBBBB	6	5	0.0	0.8979591836734695	1.0016555102040816	0	3794338	0.0	0.0	0.00429	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_28	ABAAABABBB	5	5	1.0	1.0	0.9998275	584745	3794338	15.410988688935989	100.0	0.64349	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_31	BAABAABABB	5	5	1.25	1.0	0.9993525	798300	3794338	21.039243209223848	100.0	0.83385	100000
Bmicroptera	NC_087079.1	ALG_1+ALG_31	ABAAABABBB	5	5	1.0	1.0	0.9998825	8688039	18467570	47.04484130830423	100.0	0.64222	100000
Celegans	NC_003282.8	ALG_1+ALG_31	BAABBAA	4	3	0.823529411764706	0.823529411764706	1.0000282352941177	5098583	17493829	29.14503737289304	100.0	0.54235	100000
Mleidyi	CM108480.1	ALG_1+ALG_31	BABABABAAB	5	5	1.75	1.0	0.9993425	6342799	14925576	42.49617569197999	100.0	0.99192	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_34	AAAAABBBBB	5	5	0.0	1.0	0.99925	0	3794338	0.0	0.0	0.0079	100000
Nvectensis	NC_064036.1	ALG_1+ALG_34	ABABABBBAA	5	5	1.25	1.0	0.997875	5574888	20793841	26.81028483386018	100.0	0.83536	100000
Hpanicea	NC_087379.1	ALG_1+ALG_34	AAAAABBBBB	5	5	0.0	1.0	0.9986425	0	8483533	0.0	0.0	0.008	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_38	ABABAABABB	5	5	1.5	1.0	0.999855	685178	3794338	18.05790628035773	100.0	0.96015	100000
Celegans	NC_003282.8	ALG_1+ALG_4	BBABAAA	4	3	0.823529411764706	0.823529411764706	0.9977758823529416	781507	17493829	4.467329593767037	100.0	0.54581	100000
Mleidyi	CM108480.1	ALG_1+ALG_41	AAABBBABAB	5	5	1.0	1.0	0.99947	3460132	14925576	23.18256930251804	100.0	0.64253	100000
Celegans	NC_003282.8	ALG_1+ALG_41	BBABABBAA	4	5	1.161290322580645	1.161290322580645	0.9995051612903226	4365515	17493829	24.95459970484449	100.0	0.78619	100000
Bmicroptera	NC_087079.1	ALG_1+ALG_41	BAAAABBABB	5	5	0.75	1.0	1.0009	9065747	18467570	49.090091441375336	75.0	0.3565	100000
